sub_object_code,sub_object,spend_class,basis,needs_review,classified_at
528020,Janitorial Services,purchase,label_rule,false,2026-07-28
542210,Hardware,purchase,code_range,false,2026-07-28
466004,Safety Net Care Pool (Sncp),ledger,code_range,false,2026-07-28
435210,Civic Center Garage,ledger,code_range,false,2026-07-28
551140,Workers' Comp-Med Emplye Reimb,unclear,unassigned,true,2026-07-28
542510,Painters Supplies,purchase,label_rule,false,2026-07-28
527210,Auditing & Accounting,purchase,code_range,false,2026-07-28
528050,Grounds Maintenance,purchase,label_rule,false,2026-07-28
531210,Vehicle Rental,purchase,label_rule,false,2026-07-28
232770,"232660CONSocSecCityShare,Court",obligation,code_range,false,2026-07-28
230550,230490CONOasdiTaxTaxUnit5,obligation,code_range,false,2026-07-28
564990,Other Equip L-P-Fin Agency-Ren,purchase,label_rule,false,2026-07-28
563101,Land Capitalized Expenditures,purchase,code_range,false,2026-07-28
550010,Eqpmnt(5KOr_-Controlled Asset),unclear,unassigned,true,2026-07-28
470211,Frnge-PropBRetHlthCare-CtyShre,ledger,code_range,false,2026-07-28
533140,Resale Of Steam,unclear,unassigned,true,2026-07-28
478951,ExpiredChckCancellatnsReissue,ledger,code_range,false,2026-07-28
530210,Garage Rent,purchase,label_rule,false,2026-07-28
542810,Small Tools And Intruments,purchase,code_range,false,2026-07-28
535210,Freight-Delivery,unclear,unassigned,true,2026-07-28
560980,Office Equipment,purchase,label_rule,false,2026-07-28
528030,Pest Control,purchase,code_range,false,2026-07-28
535510,Copy Machine,unclear,unassigned,true,2026-07-28
531220,Tire Rent,purchase,label_rule,false,2026-07-28
554120,Refund Of Unused Grants,ledger,label_rule,false,2026-07-28
560840,Safety & Rescue Equipment,purchase,label_rule,false,2026-07-28
537310,Foster Care Aid Payments,unclear,unassigned,true,2026-07-28
513091,Calpers-Prepayment,obligation,label_rule,false,2026-07-28
230630,230490CONStateIncomeTaxTaxU5,obligation,code_range,false,2026-07-28
536340,Non-CalWorks Wage Subsidy,unclear,unassigned,true,2026-07-28
526990,Other Fees,purchase,code_range,false,2026-07-28
549110,Agricultural Supplies,purchase,label_rule,false,2026-07-28
538400,Rebate Programs,unclear,unassigned,true,2026-07-28
552440,Court Facilities Payment,unclear,unassigned,true,2026-07-28
